Distance_(microns);mito;actin
18.8457;0.422738262;2.478576351
18.9116;0.540508921;2.179311905
18.9775;0.712684818;1.935664331
19.0434;0.897453113;1.758898745
19.1093;1.027458462;1.592284804
19.1752;1.066721624;1.520443317
19.2411;1.007030106;1.533514452
19.307;0.897910334;1.604272057
19.3729;0.792845033;1.759119286
19.4388;0.745872322;1.924689688
19.5047;0.779701281;2.074391839
19.5706;0.903842101;2.310718501
19.6364;1.067220532;2.823287198
19.7023;1.207462247;3.634820458
19.7682;1.304524839;4.373225289
19.8341;1.336044833;4.920057304
19.9;1.298763858;5.497307949
19.9659;1.167462153;6.167496785
20.0318;0.952954336;6.656567023
20.0977;0.772591498;6.905898926
20.1636;0.737786238;6.912759928
20.2295;0.875513239;6.7070563
20.2954;1.143878975;6.150400762
20.3613;1.352886695;5.508395552
20.4272;1.441393879;4.896916554
20.4931;1.422417872;4.480814717
20.559;1.336108037;4.480980123
20.6249;1.208870218;5.132845164
20.6908;1.079443119;6.102927798
20.7566;1.099423667;6.66021941
20.8225;1.309472237;6.612547421
20.8884;1.582193672;6.1418978
20.9543;1.676273571;5.566367113
21.0202;1.577251654;4.879784222
21.0861;1.40791456;4.303212685
21.152;1.29104355;3.849446614
21.2179;1.256013715;3.506486654
21.2838;1.296828738;3.374102413
21.3497;1.379920545;3.548303529
21.4156;1.404973555;3.991171608
21.4815;1.279225738;4.627118642
21.5474;1.137853074;5.31498175
21.6133;1.141323917;5.937775619
21.6792;1.262932541;6.415337341
21.7451;1.36567005;6.522249007
21.811;1.409062991;6.305678317
21.8768;1.370121228;5.791544311
21.9427;1.2782333;4.993418378
22.0086;1.205086044;4.346772378
22.0745;1.220955639;4.437612733
22.1404;1.316435441;5.363362432
22.2063;1.463193897;6.394095402
22.2722;1.524005605;6.915288089
22.3381;1.430838803;6.783221213
22.404;1.279552516;6.261299661
22.4699;1.188256285;5.557323555
22.5358;1.263306386;4.98925229
22.6017;1.462222975;4.605440998
22.6676;1.681714498;4.508944553
22.7335;1.765133084;4.521855661
22.7994;1.718183235;4.449696809
22.8653;1.618677201;4.388829965
22.9312;1.450038041;4.360256356
22.997;1.285371323;4.592653609
23.0629;1.222389161;4.964134732
23.1288;1.323389231;5.124620569
23.1947;1.436692574;4.802118549
23.2606;1.415780102;4.153834623
23.3265;1.313136727;3.64698522
23.3924;1.234894149;3.394780895
23.4583;1.226775791;3.250562703
23.5242;1.236775478;3.156950784
23.5901;1.195648469;3.252851497
23.656;1.111160794;3.553947516
23.7219;1.037237607;4.253944457
23.7878;0.961227343;5.468681894
23.8537;0.909179481;6.846280027
23.9196;0.920630172;7.608783082
23.9855;0.962140439;7.359418905
24.0514;0.963054881;6.473185183
24.1172;0.960815844;5.528134042
24.1831;1.100319282;4.943274706
24.249;1.312156392;4.631060154
24.3149;1.455633617;4.427138342
24.3808;1.425708517;4.497265252
24.4467;1.357072954;4.900655006
24.5126;1.32890681;5.133719263
